FIC-2101~FIC-2001  
  FreqPeriod(min) 	 Unc_UB 	 Bode 	 Unc_LB 	 S/N_Ratio
2.288582e+02 	 5.937532e-01 	 5.429051e-01 	  4.920570e-01 	 2.025013e+00
2.059782e+02 	 5.913724e-01 	 5.405243e-01 	  4.896762e-01 	 2.029429e+00
1.853856e+02 	 5.868447e-01 	 5.359966e-01 	  4.851485e-01 	 2.025485e+00
1.668517e+02 	 5.792593e-01 	 5.284112e-01 	  4.775630e-01 	 2.009712e+00
1.501708e+02 	 5.671908e-01 	 5.166652e-01 	  4.661396e-01 	 1.977581e+00
1.351575e+02 	 5.497530e-01 	 4.995310e-01 	  4.493090e-01 	 1.923556e+00
1.216452e+02 	 5.257824e-01 	 4.758121e-01 	  4.258418e-01 	 1.841450e+00
1.094837e+02 	 4.944669e-01 	 4.446278e-01 	  3.947888e-01 	 1.725296e+00
9.853815e+01 	 4.558028e-01 	 4.058437e-01 	  3.558846e-01 	 1.571018e+00
8.868683e+01 	 4.111651e-01 	 3.605992e-01 	  3.100333e-01 	 1.379124e+00
7.982040e+01 	 3.637692e-01 	 3.117124e-01 	  2.596557e-01 	 1.158015e+00
7.184038e+01 	 3.184693e-01 	 2.634278e-01 	  2.083863e-01 	 9.255670e-01
6.465817e+01 	 2.800906e-01 	 2.197587e-01 	  1.594267e-01 	 7.044257e-01
5.819399e+01 	 2.504971e-01 	 1.817091e-01 	  1.129212e-01 	 5.108588e-01
5.237607e+01 	 2.276232e-01 	 1.466178e-01 	  6.561248e-02 	 3.500336e-01
4.713979e+01 	 2.094249e-01 	 1.124676e-01 	  1.551025e-02 	 2.243279e-01
4.242700e+01 	 1.973932e-01 	 8.159766e-02 	  0.000000e+00 	 1.362769e-01
3.818538e+01 	 1.914396e-01 	 5.541607e-02 	  0.000000e+00 	 7.878765e-02
3.436781e+01 	 1.893334e-01 	 3.327257e-02 	  0.000000e+00 	 4.123149e-02
3.093190e+01 	 2.048883e-01 	 3.008683e-02 	  0.000000e+00 	 3.328649e-02
2.783950e+01 	 2.316814e-01 	 4.002194e-02 	  0.000000e+00 	 4.038355e-02
2.505625e+01 	 2.593001e-01 	 5.331126e-02 	  0.000000e+00 	 5.005089e-02
2.255126e+01 	 2.789458e-01 	 6.294317e-02 	  0.000000e+00 	 5.635418e-02
2.029671e+01 	 2.878547e-01 	 7.048883e-02 	  0.000000e+00 	 6.271415e-02
1.826755e+01 	 2.767796e-01 	 7.312708e-02 	  0.000000e+00 	 6.944245e-02
